,房屋名称,房屋链接,房屋位置,房屋位置链接,房屋总价,房屋单价,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间,
10,林荫街居家电梯套三，小区环境好，不临街,https://cd.ke.com/ershoufang/20031217710100265872.html,林荫街9号,https://cd.ke.com/xiaoqu/1611061238349/,256,15651.7,中楼层(共19层),2002年建,3室2厅,163.56平米,北,0,今天发布,
11,鹭岛国际一二期3室2厅南,https://cd.ke.com/ershoufang/20031217710100265181.html,鹭岛国际一二期,https://cd.ke.com/xiaoqu/1611043475800/,290,22218.8,高楼层(共14层),2006年建,3室2厅,130.52平米,南,1,今天发布,
12,武侯祠横街2室1厅东,https://cd.ke.com/ershoufang/20031217710100264960.html,武侯祠横街,https://cd.ke.com/xiaoqu/3011053927874/,188,20982.1,中楼层(共7层),1996年建,2室1厅,89.6平米,东,0,今天发布,
13,首航欣程大套四大阳台安静不临街,https://cd.ke.com/ershoufang/20031217710100265212.html,首航欣程,https://cd.ke.com/xiaoqu/1611048245025/,335,25541.3,中楼层(共32层),2014年建,4室1厅,131.16平米,东南,0,今天发布,
2522,标准套二采光好户型方正,https://cd.ke.com/ershoufang/19121017710100152688.html,永康苑(铁佛西路),https://cd.ke.com/xiaoqu/3011056146563/,105,11413,高楼层(共11层),2016年建,2室2厅,92,东,136,3月前发布,
2557,三环内电梯标准套三对中庭安静,https://cd.ke.com/ershoufang/19120917710100143869.html,兴元丽园B区,https://cd.ke.com/xiaoqu/3011053813640/,93,11206.2,中楼层(共11层),2004年建,3室1厅,82.99,西南,113,3月前发布,
16,房子对中庭，户型方正，不临街，采光视野好,https://cd.ke.com/ershoufang/20031217710100240720.html,优地B区,https://cd.ke.com/xiaoqu/1611041508881/,125,17201,中楼层(共17层),2007年建,2室1厅,72.67平米,西南,0,今天发布,
2390,省农业厅标准套三双阳台通透户型安静不临街,https://cd.ke.com/ershoufang/19121317710100157112.html,武侯祠大街4号,https://cd.ke.com/xiaoqu/3011053912507/,107.8,13035.1,高楼层(共7层),1995年建,3室1厅,82.7,东,106,3月前发布,
18,锦江新园1室0厅东北,https://cd.ke.com/ershoufang/20031217710100156574.html,锦江新园,https://cd.ke.com/xiaoqu/1611041560823/,68,12472.5,中楼层(共22层),2002年建,1室0厅,54.52,东北,0,今天发布,
19,此房客厅带阳台，精装修，可直接入住,https://cd.ke.com/ershoufang/20031217710100155224.html,尚房国际公馆,https://cd.ke.com/xiaoqu/1611058280005/,168,17500,低楼层(共18层),2012年建,3室1厅,96平米,南,0,今天发布,
20,对中庭安静，错层带休闲厅可以做书房，保养好拎包入住,https://cd.ke.com/ershoufang/20031217710100154735.html,嘉瑞苑一期,https://cd.ke.com/xiaoqu/1611042020066/,230,14168.7,高楼层(共6层),2004年建,3室2厅,162.33平米,南,0,今天发布,
21,花间兰庭1室1厅南,https://cd.ke.com/ershoufang/20031217710100153715.html,花间兰庭,https://cd.ke.com/xiaoqu/1611041501023/,125,20840.3,中楼层(共14层),2009年建,1室1厅,59.98平米,南,0,今天发布,
22,鸿禧花园3室2厅东北,https://cd.ke.com/ershoufang/20031217710100147773.html,鸿禧花园,https://cd.ke.com/xiaoqu/1611041497112/,270,19096.1,低楼层(共16层),2002年建,3室2厅,141.39平米,东北,0,今天发布,
23,置信品质楼盘，前后中庭看绿化，安静不吵，套三双卫,https://cd.ke.com/ershoufang/20031217710100130119.html,置信丽都花园城D区,https://cd.ke.com/xiaoqu/3011056147653/,175,17857.1,中楼层(共13层),2009年建,3室1厅,98平米,南,1,今天发布,
24,华西这边，低楼层带花园，拎包入住，标准套三,https://cd.ke.com/ershoufang/20031217710100129820.html,教育学院教师公寓,https://cd.ke.com/xiaoqu/1611042765983/,130,15818.9,低楼层(共6层),1995年建,3室1厅,82.18平米,西南南,0,今天发布,
25,鹭岛国际四期步行街有装修标间保养好,https://cd.ke.com/ershoufang/20031217710100135199.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,98,19043.9,高楼层(共18层),2012年建,1室0厅,51.46,西南,0,今天发布,
26,红牌楼北街12号1室1厅东南,https://cd.ke.com/ershoufang/20031217710100133886.html,红牌楼北街12号,https://cd.ke.com/xiaoqu/1620034997686420/,52,12070.6,高楼层(共7层)1室1厅,,1室1厅,43.08,东南,0,今天发布,
27,此房户型方正，通风效果好，客厅朝南,https://cd.ke.com/ershoufang/20031217710100130666.html,玉洁巷6号,https://cd.ke.com/xiaoqu/3011053889944/,150,11566,中楼层(共7层),1996年建,3室2厅,129.69平米,南,0,今天发布,
2794,兴元丽园电梯套二有装修带阳台,https://cd.ke.com/ershoufang/19120317710100170890.html,兴元丽园B区,https://cd.ke.com/xiaoqu/3011053813640/,80,12519.6,低楼层(共11层),2004年建,2室1厅,63.9,南,105,3月前发布,
29,蓝色加勒比广场1室0厅东南,https://cd.ke.com/ershoufang/20031217710100121168.html,蓝色加勒比广场,https://cd.ke.com/xiaoqu/1611057946980/,40,11958.1,中楼层(共7层),2003年建,1室0厅,33.45,东南,0,今天发布,
1698,顺江新苑B区3室2厅东,https://cd.ke.com/ershoufang/19123017710100188878.html,顺江新苑B区,https://cd.ke.com/xiaoqu/3011053811331/,96,10799.9,中楼层(共6层),2003年建,3室2厅,88.89,东,97,2月前发布,
31,7栋8栋车位，考虑可以联系哦。,https://cd.ke.com/ershoufang/20031217710100120584.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,21,5000,地下室(共层)1室0厅,,1室0厅,42,东南,0,今天发布,
32,棕北棕南西街4号商品房采光好随时看房安静不临街,https://cd.ke.com/ershoufang/20031217710100108875.html,棕南西街4号,https://cd.ke.com/xiaoqu/3011052085374/,120,15682.2,低楼层(共7层),1998年建,2室1厅,76.52平米,西北,0,今天发布,
33,金楠国际1室0厅东,https://cd.ke.com/ershoufang/20031217710100106021.html,金楠国际,https://cd.ke.com/xiaoqu/1611041509061/,10,2629.5,地下室(共1层),2008年建,1室0厅,38.03,东,0,今天发布,
34,星语双城二期3室2厅东,https://cd.ke.com/ershoufang/20031217710100105795.html,星语双城二期,https://cd.ke.com/xiaoqu/3011053741146/,125,12203.5,低楼层(共11层),2007年建,3室2厅,102.43平米,东,2,今天发布,
35,地铁口高楼层，采光好，视野开阔，,https://cd.ke.com/ershoufang/20031217710100102573.html,丽景华庭二期,https://cd.ke.com/xiaoqu/1611041621243/,60,14662.8,高楼层(共16层),2006年建,1室0厅,40.92,东南,0,今天发布,
36,一环内套一，小区环境好，人车分流,https://cd.ke.com/ershoufang/20031117710100229993.html,天竺丽苑,https://cd.ke.com/xiaoqu/1611041487989/,75,14637,中楼层(共11层),2003年建,1室1厅,51.24,西南,0,2天前发布,
37,保利花园二期2室1厅南,https://cd.ke.com/ershoufang/20031117710100227078.html,保利花园二期,https://cd.ke.com/xiaoqu/3011056073467/,190,24784.8,低楼层(共15层),2012年建,2室1厅,76.66平米,南,0,2天前发布,
38,交大万通格外2室1厅东南,https://cd.ke.com/ershoufang/20031117710100223995.html,交大万通格外,https://cd.ke.com/xiaoqu/1611041550529/,152,19547.3,高楼层(共18层),2011年建,2室1厅,77.76平米,东南,0,2天前发布,
39,西南朝向视野好，安静不临街，交通方便,https://cd.ke.com/ershoufang/20031117710100219587.html,金楠国际,https://cd.ke.com/xiaoqu/1611041509061/,150,16598.4,中楼层(共11层),2008年建,3室2厅,90.37平米,西南,0,2天前发布,
40,蓝光金双楠二期3室2厅东南,https://cd.ke.com/ershoufang/20031117710100220676.html,蓝光金双楠二期,https://cd.ke.com/xiaoqu/1620031547538329/,150,19736.8,中楼层(共24层)3室2厅,,3室2厅,76平米,东南,1,2天前发布,
41,丽都世家B区2室2厅南,https://cd.ke.com/ershoufang/20031117710100217680.html,丽都世家B区,https://cd.ke.com/xiaoqu/1611061021769/,176,21072.8,中楼层(共17层),2014年建,2室2厅,83.52平米,南,0,2天前发布,
42,罗马假日广场1室0厅西南,https://cd.ke.com/ershoufang/20031117710100214167.html,罗马假日广场,https://cd.ke.com/xiaoqu/1611045517296/,43,8877,高楼层(共11层),2003年建,1室0厅,48.44,西南,0,2天前发布,
43,会所花园2室1厅东,https://cd.ke.com/ershoufang/20031117710100195355.html,会所花园,https://cd.ke.com/xiaoqu/1611041504254/,135,13666.7,低楼层(共15层),2002年建,2室1厅,98.78平米,东,0,2天前发布,
44,武侯区科华北路二环内电梯顶楼跃层住宅带大平台,https://cd.ke.com/ershoufang/20031117710100219126.html,花样年华梦想家,https://cd.ke.com/xiaoqu/1611041502758/,92,14270.2,高楼层(共15层),2005年建,1室1厅,64.47,南,0,2天前发布,
45,保利中心1室0厅东,https://cd.ke.com/ershoufang/20031117710100189780.html,保利中心,https://cd.ke.com/xiaoqu/1611057984138/,130,20239.8,高楼层(共21层),2012年建,1室0厅,64.23平米,东,0,2天前发布,
46,3.7.10地铁10年小区两梯四户朝南采光好对中庭,https://cd.ke.com/ershoufang/20031117710100183543.html,九峰国际,https://cd.ke.com/xiaoqu/1611041515644/,148,17680.1,高楼层(共18层),2010年建,2室2厅,83.71平米,东,0,2天前发布,
1482,兴元嘉园电梯标准套二,https://cd.ke.com/ershoufang/20010517710100145048.html,兴元嘉园,https://cd.ke.com/xiaoqu/3011053821974/,95,12242.3,高楼层(共10层),2005年建,2室2厅,77.6,西,95,2月前发布,
48,置信丽都花园A区1室0厅南,https://cd.ke.com/ershoufang/20031117710100180263.html,置信丽都花园A区,https://cd.ke.com/xiaoqu/1611043511786/,18,6398.9,地下室(共层)1室0厅,,1室0厅,28.13,南,0,2天前发布,
49,保利花园一期3室2厅西南,https://cd.ke.com/ershoufang/20031117710100176990.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,286,25731,高楼层(共15层),2011年建,3室2厅,111.15平米,西南,0,2天前发布,
2672,一环边浣花溪公园体院旁标准套三,https://cd.ke.com/ershoufang/19120617710100185619.html,百花东街52号,https://cd.ke.com/xiaoqu/1611044226464/,110,12216.8,中楼层(共7层),2000年建,3室1厅,90.04,东南,89,3月前发布,
51,电子商务大厦2室1厅南,https://cd.ke.com/ershoufang/20031117710100174962.html,电子商务大厦,https://cd.ke.com/xiaoqu/1620020444105367/,42,7500,高楼层(共18层)2室1厅,,2室1厅,56,南,0,2天前发布,
52,龙湖旁标准套一，出门就是公园，挨着天街,https://cd.ke.com/ershoufang/20031117710100169113.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,55,11293.6,低楼层(共7层),2000年建,1室1厅,48.7,东南,2,2天前发布,
2099,二环内精装大套二，户型好，业主诚心卖,https://cd.ke.com/ershoufang/19122017710100232068.html,红牌楼北街21号,https://cd.ke.com/xiaoqu/1611042677066/,75,11986.6,高楼层(共7层),1998年建,2室2厅,62.57,南,87,2月前发布,
2100,二环内精装大套二，户型好，业主诚心卖,https://cd.ke.com/ershoufang/19122017710100232068.html,红牌楼北街21号,https://cd.ke.com/xiaoqu/1611042677066/,75,11986.6,高楼层(共7层),1998年建,2室2厅,62.57,南,87,2月前发布,
55,7栋负一楼车位，有7栋业主可以考虑,https://cd.ke.com/ershoufang/20031117710100167256.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18,4820.6,地下室(共层)1室0厅,,1室0厅,37.34,东南,0,2天前发布,
56,省农业厅套三双卫电梯入户中间楼层,https://cd.ke.com/ershoufang/20031117710100166815.html,武侯祠大街4号,https://cd.ke.com/xiaoqu/3011053912507/,186,15911,中楼层(共7层),1999年建,3室2厅,116.9平米,东,2,2天前发布,
57,7栋负一楼车位，有7栋业主可以考虑,https://cd.ke.com/ershoufang/20031117710100165628.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18,4820.6,地下室(共层)1室0厅,,1室0厅,37.34,南,0,2天前发布,
58,"7栋8栋业主考虑的可以联系,随时可以看",https://cd.ke.com/ershoufang/20031117710100163697.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18,4249.3,地下室(共层),2011年建,1室0厅,42.36,东南,0,2天前发布,
59,"7栋8栋业主考虑的可以联系,随时可以看",https://cd.ke.com/ershoufang/20031117710100163718.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18,4285.7,地下室(共层),2011年建,1室0厅,42,东南,0,2天前发布,
60,浣花溪公园旁电梯装修套二保养好不临街,https://cd.ke.com/ershoufang/20031117710100161370.html,新空间花园,https://cd.ke.com/xiaoqu/1611041500070/,138,15481.3,中楼层(共12层),2002年建,2室1厅,89.14平米,东,1,2天前发布,
61,世豪嘉柏3室2厅南,https://cd.ke.com/ershoufang/20031117710100155693.html,世豪嘉柏,https://cd.ke.com/xiaoqu/1611061265761/,160,17681.5,高楼层(共22层),2014年建,3室2厅,90.49平米,南,1,2天前发布,
62,绿地圣路易名邸一期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100159339.html,绿地圣路易名邸一期,https://cd.ke.com/xiaoqu/3011056102188/,170,19124.8,低楼层(共12层),2012年建,2室1厅,88.89平米,东南,0,2天前发布,
63,时代锦绣套三，户型方正，采光好。,https://cd.ke.com/ershoufang/20031117710100161713.html,时代锦绣,https://cd.ke.com/xiaoqu/1611064009997/,126,15000,高楼层(共14层),2017年建,3室2厅,84平米,东,1,2天前发布,
64,合力达40年产权公寓有装修随时能看,https://cd.ke.com/ershoufang/20031117710100159688.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,8482.8,高楼层(共6层)1室1厅,,1室1厅,35.13,东南,0,2天前发布,
65,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154824.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,8482.8,高楼层(共6层)1室1厅,,1室1厅,35.13,东南,0,2天前发布,
66,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154655.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,8482.8,高楼层(共6层)1室1厅,,1室1厅,35.13,东南,0,2天前发布,
67,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154368.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,8482.8,高楼层(共6层)1室1厅,,1室1厅,35.13,东南,0,2天前发布,
68,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154037.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,8482.8,高楼层(共6层)1室1厅,,1室1厅,35.13,东南,0,2天前发布,
69,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153856.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.4,8499.6,高楼层(共6层)1室1厅,,1室1厅,34.59,东南,0,2天前发布,
70,合力达40产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153443.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.4,8499.6,高楼层(共6层)1室1厅,,1室1厅,34.59,东南,0,2天前发布,
71,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153060.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,30.5,8481.6,高楼层(共6层)1室1厅,,1室1厅,35.96,东南,0,2天前发布,
72,优客联邦三期3室2厅西北,https://cd.ke.com/ershoufang/20031117710100152461.html,优客联邦三期,https://cd.ke.com/xiaoqu/1611044060273/,249,21635.2,高楼层(共18层),2012年建,3室2厅,115.09平米,西北,3,2天前发布,
2147,华都星公馆二期标准套二前后对中庭带装修出售,https://cd.ke.com/ershoufang/19121917710100183244.html,华都星公馆二期,https://cd.ke.com/xiaoqu/3011053727078/,99,11322,高楼层(共6层),2004年建,2室1厅,87.44,南,78,2月前发布,
74,和信派都标准套一在售朝南带阳台不临街,https://cd.ke.com/ershoufang/20031117710100142910.html,和信派都,https://cd.ke.com/xiaoqu/1611041491284/,110,19507,中楼层(共32层),2010年建,1室1厅,56.39,南,0,2天前发布,
2613,南一环地铁口标准套二过厅套三,https://cd.ke.com/ershoufang/19120817710100134799.html,洗面桥街7号,https://cd.ke.com/xiaoqu/1611517119968101/,77,12758.9,中楼层(共5层),1997年建,2室1厅,60.35,南,72,3月前发布,
76,紫檀清水套三双重精装入户大堂Artdeco经典建筑,https://cd.ke.com/ershoufang/20031117710100140653.html,紫檀,https://cd.ke.com/xiaoqu/1611041556800/,420,27025.3,中楼层(共27层),2017年建,3室2厅,155.41平米,东,2,2天前发布,
77,保利花园一期3室2厅东北,https://cd.ke.com/ershoufang/20031117710100139276.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,260,23438.2,中楼层(共16层),2011年建,3室2厅,110.93平米,东北,0,2天前发布,
78,优客联邦一期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100138510.html,优客联邦一期,https://cd.ke.com/xiaoqu/1611041554183/,158,19296.5,低楼层(共16层),2008年建,2室1厅,81.88平米,东南,1,2天前发布,
79,采光充足，配套实施齐全，交通便利,https://cd.ke.com/ershoufang/20031117710100138478.html,首信汇,https://cd.ke.com/xiaoqu/3011056108443/,142,17102.3,中楼层(共14层),2014年建,3室2厅,83.03平米,东,1,2天前发布,
80,置信丽都花园城B区3室2厅东北,https://cd.ke.com/ershoufang/20031117710100131696.html,置信丽都花园城B区,https://cd.ke.com/xiaoqu/1611057979869/,230,17025.7,中楼层(共13层),2006年建,3室2厅,135.09平米,东北,3,2天前发布,
1510,方正户型、采光好，简单装修,https://cd.ke.com/ershoufang/20010517710100102493.html,中央花园二期,https://cd.ke.com/xiaoqu/1611041477479/,86,9772.7,中楼层(共8层),1998年建,3室1厅,88,南,70,2月前发布,
82,标准套二，中庭不临街，临河。,https://cd.ke.com/ershoufang/20031117710100129335.html,少陵横街34号,https://cd.ke.com/xiaoqu/1611041882821/,68,12932.7,中楼层(共7层),2001年建,2室1厅,52.58,南,2,2天前发布,
83,绿地圣路易名邸一期2室1厅东,https://cd.ke.com/ershoufang/20031117710100123582.html,绿地圣路易名邸一期,https://cd.ke.com/xiaoqu/3011056102188/,170,19124.8,高楼层(共12层),2012年建,2室1厅,88.89平米,东,0,2天前发布,
84,丽景华庭二期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100115299.html,丽景华庭二期,https://cd.ke.com/xiaoqu/1611041621243/,170,19101.1,高楼层(共16层),2006年建,2室1厅,89平米,东南,0,2天前发布,
85,武海中华锦绣1室0厅东南,https://cd.ke.com/ershoufang/20031117710100114739.html,武海中华锦绣,https://cd.ke.com/xiaoqu/3011053806870/,16,5774.1,地下室(共层),2011年建,1室0厅,27.71,东南,0,2天前发布,
86,武侯立交地铁三号线标准套二拎包入住,https://cd.ke.com/ershoufang/20031117710100114146.html,保利花园四期,https://cd.ke.com/xiaoqu/3011052246928/,164,21869.6,低楼层(共16层),2014年建,2室2厅,74.99平米,南,0,2天前发布,
87,首航欣程优质标间,https://cd.ke.com/ershoufang/20031117710100111138.html,首航欣程,https://cd.ke.com/xiaoqu/1611048245025/,102,20996.3,高楼层(共29层),2014年建,1室0厅,48.58,南,3,2天前发布,
88,地铁口中间楼层，金典错层套四，适合出租自住,https://cd.ke.com/ershoufang/20031117710100107428.html,红运花园佳苑,https://cd.ke.com/xiaoqu/1611058507205/,125,10053.1,中楼层(共7层),1999年建,4室2厅,124.34平米,南,0,2天前发布,
89,罗浮世家二期3室2厅西南,https://cd.ke.com/ershoufang/20031117710100109867.html,罗浮世家二期,https://cd.ke.com/xiaoqu/1611041434437/,218,19899.6,高楼层(共17层),2004年建,3室2厅,109.55平米,西南,3,2天前发布,
90,红牌楼北街19号2室2厅东南,https://cd.ke.com/ershoufang/20031117710100108888.html,红牌楼北街19号,https://cd.ke.com/xiaoqu/1611042674663/,112,14871.9,低楼层(共7层),2000年建,2室2厅,75.31平米,东南,0,2天前发布,
91,三环边地铁口套二诚心出售满两年,https://cd.ke.com/ershoufang/20031117710100104766.html,杜鹃花园,https://cd.ke.com/xiaoqu/3011053701884/,115,14241.5,中楼层(共11层),2006年建,2室2厅,80.75平米,西南,1,2天前发布,
92,保利花园套三双卫有装修拎包入住,https://cd.ke.com/ershoufang/20031117710100101647.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,230,23355,中楼层(共16层),2011年建,3室1厅,98.48平米,东南,1,2天前发布,
1450,红牌楼北街04年的多层小区低楼层套二105万,https://cd.ke.com/ershoufang/20010617710100104775.html,红牌楼北街29号,https://cd.ke.com/xiaoqu/1611042677812/,105,12250.6,低楼层(共6层),2004年建,2室2厅,85.71,东南南,69,2月前发布,
2407,楼层好+有装修+方正套二+不临街+近地铁,https://cd.ke.com/ershoufang/19121317710100118289.html,红运花园馨苑,https://cd.ke.com/xiaoqu/1611058162958/,83,10639.7,中楼层(共7层),1998年建,2室2厅,78.01,东南,66,3月前发布,
1272,锦翠北苑，居家套二，直接拎包入住，户型方正,https://cd.ke.com/ershoufang/20011017710100155682.html,锦翠北苑,https://cd.ke.com/xiaoqu/1611041526978/,83,11435.7,中楼层(共6层),2003年建,2室1厅,72.58,西南,62,2月前发布,
96,花样年花好园标准套一户型方正采光好,https://cd.ke.com/ershoufang/20031017710100204094.html,花样年花好园,https://cd.ke.com/xiaoqu/1611041608619/,52,10077.5,低楼层(共20层),2007年建,1室1厅,51.6,东南,1,3天前发布,
97,簇锦南街82号1室1厅南,https://cd.ke.com/ershoufang/20031017710100201989.html,簇锦南街82号,https://cd.ke.com/xiaoqu/3011056083961/,55,9719,高楼层(共6层)1室1厅,,1室1厅,56.59,南,0,3天前发布,
98,金辉枫尚1室0厅东,https://cd.ke.com/ershoufang/20031017710100199740.html,金辉枫尚,https://cd.ke.com/xiaoqu/3011053769898/,10.5,2989.7,地下室(共层),2012年建,1室0厅,35.12,东,0,3天前发布,
99,华西武侯祠电梯小区户型方正带装修,https://cd.ke.com/ershoufang/20031017710100200657.html,一江城花,https://cd.ke.com/xiaoqu/1611061453614/,42,10266.4,低楼层(共7层)1室0厅,,1室0厅,40.91,南,0,3天前发布,
100,红城3室2厅西北,https://cd.ke.com/ershoufang/20031017710100193349.html,红城,https://cd.ke.com/xiaoqu/1611043133022/,160,20174,中楼层(共18层),2011年建,3室2厅,79.31平米,西北,0,3天前发布,
101,金辉枫尚2室2厅东南,https://cd.ke.com/ershoufang/20031017710100184539.html,金辉枫尚,https://cd.ke.com/xiaoqu/3011053769898/,138,19158.7,低楼层(共17层),2011年建,2室2厅,72.03平米,东南,0,3天前发布,
102,长城宜苑两居室带装修东南朝向,https://cd.ke.com/ershoufang/20031017710100184233.html,长城宜苑,https://cd.ke.com/xiaoqu/3011053654852/,119,15289.7,中楼层(共11层),2000年建,2室2厅,77.83平米,东南,0,3天前发布,
103,西派城3室2厅南,https://cd.ke.com/ershoufang/20031017710100181858.html,西派城,https://cd.ke.com/xiaoqu/1613850559942542/,300,24939.7,高楼层(共7层)3室2厅,,3室2厅,120.29平米,南,0,3天前发布,
104,玉林低楼层套一朝南简单装修,https://cd.ke.com/ershoufang/20031017710100179469.html,玉林一巷16号,https://cd.ke.com/xiaoqu/1611043038569/,66,14515.1,低楼层(共5层)1室1厅,,1室1厅,45.47,南北,1,3天前发布,
105,正成金楠尚府1室0厅东南,https://cd.ke.com/ershoufang/20031017710100173239.html,正成金楠尚府,https://cd.ke.com/xiaoqu/1613622385586068/,9.5,3166.7,地下室(共层)1室0厅,,1室0厅,30,东南,0,3天前发布,
106,鹭岛国际四期2室1厅南,https://cd.ke.com/ershoufang/20031017710100175234.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,135,20368.1,高楼层(共18层),2012年建,2室1厅,66.28平米,南,3,3天前发布,
107,紫藤花园3室2厅南,https://cd.ke.com/ershoufang/20031017710100172430.html,紫藤花园,https://cd.ke.com/xiaoqu/1611041517751/,193,14961.2,中楼层(共7层),2002年建,3室2厅,129平米,南,1,3天前发布,
108,武侯区武侯祠大街252号标准套三,https://cd.ke.com/ershoufang/20031017710100174489.html,武侯祠大街252号,https://cd.ke.com/xiaoqu/1611041922494/,117,14045.6,高楼层(共6层),1993年建,3室1厅,83.3平米,东南,0,3天前发布,
109,小区环境简单，适合居住，交通方便,https://cd.ke.com/ershoufang/20031017710100167146.html,梓桐苑,https://cd.ke.com/xiaoqu/1611041830655/,220,17953.3,低楼层(共7层),2002年建,3室2厅,122.54平米,东南,0,3天前发布,
110,牡丹名邸3室2厅南北,https://cd.ke.com/ershoufang/20031017710100165679.html,牡丹名邸,https://cd.ke.com/xiaoqu/1611043003216/,270,17532.5,低楼层(共9层),2001年建,3室2厅,154平米,南北,0,3天前发布,
1385,二环内近地铁精致居家装修大套二户型方正,https://cd.ke.com/ershoufang/20010717710100177349.html,红牌楼北街12号,https://cd.ke.com/xiaoqu/1620034997686420/,77,11526.9,高楼层(共7层),1995年建,2室1厅,66.8,南,61,2月前发布,
112,中华名园二期3室1厅东,https://cd.ke.com/ershoufang/20031017710100159028.html,中华名园二期,https://cd.ke.com/xiaoqu/1611058387863/,186,20898.9,高楼层(共16层)3室1厅,,3室1厅,89平米,东,1,3天前发布,
