,房屋名称,房屋链接,房屋位置,房屋位置链接,房屋总价,房屋单价,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间
15,标准套二带楼顶花园户型方正采光好,https://cd.ke.com/ershoufang/20031217710100254491.html,中央花园三期,https://cd.ke.com/xiaoqu/3011053724839/,88.0,单价12790.7元/平米,高楼层(共7层),1998年建,2室1厅,68.8平米,东南,0,今天发布
16,房子对中庭，户型方正，不临街，采光视野好,https://cd.ke.com/ershoufang/20031217710100240720.html,优地B区,https://cd.ke.com/xiaoqu/1611041508881/,125.0,单价17201元/平米,中楼层(共17层),2007年建,2室1厅,72.67平米,西南,0,今天发布
17,皇家花园2室2厅东南,https://cd.ke.com/ershoufang/20031217710100243826.html,皇家花园,https://cd.ke.com/xiaoqu/1611041549306/,95.0,单价11801.2元/平米,中楼层(共7层),1999年建,2室2厅,80.5平米,东南,0,今天发布
18,锦江新园1室0厅东北,https://cd.ke.com/ershoufang/20031217710100156574.html,锦江新园,https://cd.ke.com/xiaoqu/1611041560823/,68.0,单价12472.5元/平米,中楼层(共22层),2002年建,1室0厅,54.52平米,东北,0,今天发布
19,此房客厅带阳台，精装修，可直接入住,https://cd.ke.com/ershoufang/20031217710100155224.html,尚房国际公馆,https://cd.ke.com/xiaoqu/1611058280005/,168.0,单价17500元/平米,低楼层(共18层),2012年建,3室1厅,96平米,南,0,今天发布
20,对中庭安静，错层带休闲厅可以做书房，保养好拎包入住,https://cd.ke.com/ershoufang/20031217710100154735.html,嘉瑞苑一期,https://cd.ke.com/xiaoqu/1611042020066/,230.0,单价14168.7元/平米,高楼层(共6层),2004年建,3室2厅,162.33平米,南,0,今天发布
21,花间兰庭1室1厅南,https://cd.ke.com/ershoufang/20031217710100153715.html,花间兰庭,https://cd.ke.com/xiaoqu/1611041501023/,125.0,单价20840.3元/平米,中楼层(共14层),2009年建,1室1厅,59.98平米,南,0,今天发布
22,鸿禧花园3室2厅东北,https://cd.ke.com/ershoufang/20031217710100147773.html,鸿禧花园,https://cd.ke.com/xiaoqu/1611041497112/,270.0,单价19096.1元/平米,低楼层(共16层),2002年建,3室2厅,141.39平米,东北,0,今天发布
23,置信品质楼盘，前后中庭看绿化，安静不吵，套三双卫,https://cd.ke.com/ershoufang/20031217710100130119.html,置信丽都花园城D区,https://cd.ke.com/xiaoqu/3011056147653/,175.0,单价17857.1元/平米,中楼层(共13层),2009年建,3室1厅,98平米,南,1,今天发布
24,华西这边，低楼层带花园，拎包入住，标准套三,https://cd.ke.com/ershoufang/20031217710100129820.html,教育学院教师公寓,https://cd.ke.com/xiaoqu/1611042765983/,130.0,单价15818.9元/平米,低楼层(共6层),1995年建,3室1厅,82.18平米,西南南,0,今天发布
25,鹭岛国际四期步行街有装修标间保养好,https://cd.ke.com/ershoufang/20031217710100135199.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,98.0,单价19043.9元/平米,高楼层(共18层),2012年建,1室0厅,51.46平米,西南,0,今天发布
26,红牌楼北街12号1室1厅东南,https://cd.ke.com/ershoufang/20031217710100133886.html,红牌楼北街12号,https://cd.ke.com/xiaoqu/1620034997686420/,52.0,单价12070.6元/平米,高楼层(共7层)1室1厅,43.08平米,东南,,,0,今天发布
27,此房户型方正，通风效果好，客厅朝南,https://cd.ke.com/ershoufang/20031217710100130666.html,玉洁巷6号,https://cd.ke.com/xiaoqu/3011053889944/,150.0,单价11566元/平米,中楼层(共7层),1996年建,3室2厅,129.69平米,南,0,今天发布
28,地铁口顶楼带花园，业主急售，随时可看房。,https://cd.ke.com/ershoufang/20031217710100111431.html,红运花园佳苑,https://cd.ke.com/xiaoqu/1611058507205/,90.0,单价11581.5元/平米,高楼层(共7层),1999年建,2室2厅,77.71平米,南,1,今天发布
29,蓝色加勒比广场1室0厅东南,https://cd.ke.com/ershoufang/20031217710100121168.html,蓝色加勒比广场,https://cd.ke.com/xiaoqu/1611057946980/,40.0,单价11958.1元/平米,中楼层(共7层),2003年建,1室0厅,33.45平米,东南,0,今天发布
30,标准套二户型方正中间楼层采光好,https://cd.ke.com/ershoufang/20031217710100122649.html,顺江新苑B区,https://cd.ke.com/xiaoqu/3011053811331/,68.8,单价10111.7元/平米,中楼层(共6层),2003年建,2室1厅,68.04平米,东南,1,今天发布
31,7栋8栋车位，考虑可以联系哦。,https://cd.ke.com/ershoufang/20031217710100120584.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,21.0,单价5000元/平米,地下室(共层)1室0厅,42平米,东南,,,0,今天发布
32,棕北棕南西街4号商品房采光好随时看房安静不临街,https://cd.ke.com/ershoufang/20031217710100108875.html,棕南西街4号,https://cd.ke.com/xiaoqu/3011052085374/,120.0,单价15682.2元/平米,低楼层(共7层),1998年建,2室1厅,76.52平米,西北,0,今天发布
33,金楠国际1室0厅东,https://cd.ke.com/ershoufang/20031217710100106021.html,金楠国际,https://cd.ke.com/xiaoqu/1611041509061/,10.0,单价2629.5元/平米,地下室(共1层),2008年建,1室0厅,38.03平米,东,0,今天发布
34,星语双城二期3室2厅东,https://cd.ke.com/ershoufang/20031217710100105795.html,星语双城二期,https://cd.ke.com/xiaoqu/3011053741146/,125.0,单价12203.5元/平米,低楼层(共11层),2007年建,3室2厅,102.43平米,东,2,今天发布
35,地铁口高楼层，采光好，视野开阔，,https://cd.ke.com/ershoufang/20031217710100102573.html,丽景华庭二期,https://cd.ke.com/xiaoqu/1611041621243/,60.0,单价14662.8元/平米,高楼层(共16层),2006年建,1室0厅,40.92平米,东南,0,今天发布
36,一环内套一，小区环境好，人车分流,https://cd.ke.com/ershoufang/20031117710100229993.html,天竺丽苑,https://cd.ke.com/xiaoqu/1611041487989/,75.0,单价14637元/平米,中楼层(共11层),2003年建,1室1厅,51.24平米,西南,0,2天前发布
37,保利花园二期2室1厅南,https://cd.ke.com/ershoufang/20031117710100227078.html,保利花园二期,https://cd.ke.com/xiaoqu/3011056073467/,190.0,单价24784.8元/平米,低楼层(共15层),2012年建,2室1厅,76.66平米,南,0,2天前发布
38,交大万通格外2室1厅东南,https://cd.ke.com/ershoufang/20031117710100223995.html,交大万通格外,https://cd.ke.com/xiaoqu/1611041550529/,152.0,单价19547.3元/平米,高楼层(共18层),2011年建,2室1厅,77.76平米,东南,0,2天前发布
39,西南朝向视野好，安静不临街，交通方便,https://cd.ke.com/ershoufang/20031117710100219587.html,金楠国际,https://cd.ke.com/xiaoqu/1611041509061/,150.0,单价16598.4元/平米,中楼层(共11层),2008年建,3室2厅,90.37平米,西南,0,2天前发布
40,蓝光金双楠二期3室2厅东南,https://cd.ke.com/ershoufang/20031117710100220676.html,蓝光金双楠二期,https://cd.ke.com/xiaoqu/1620031547538329/,150.0,单价19736.8元/平米,中楼层(共24层)3室2厅,76平米,东南,,,1,2天前发布
41,丽都世家B区2室2厅南,https://cd.ke.com/ershoufang/20031117710100217680.html,丽都世家B区,https://cd.ke.com/xiaoqu/1611061021769/,176.0,单价21072.8元/平米,中楼层(共17层),2014年建,2室2厅,83.52平米,南,0,2天前发布
42,罗马假日广场1室0厅西南,https://cd.ke.com/ershoufang/20031117710100214167.html,罗马假日广场,https://cd.ke.com/xiaoqu/1611045517296/,43.0,单价8877元/平米,高楼层(共11层),2003年建,1室0厅,48.44平米,西南,0,2天前发布
43,会所花园2室1厅东,https://cd.ke.com/ershoufang/20031117710100195355.html,会所花园,https://cd.ke.com/xiaoqu/1611041504254/,135.0,单价13666.7元/平米,低楼层(共15层),2002年建,2室1厅,98.78平米,东,0,2天前发布
44,武侯区科华北路二环内电梯顶楼跃层住宅带大平台,https://cd.ke.com/ershoufang/20031117710100219126.html,花样年华梦想家,https://cd.ke.com/xiaoqu/1611041502758/,92.0,单价14270.2元/平米,高楼层(共15层),2005年建,1室1厅,64.47平米,南,0,2天前发布
45,保利中心1室0厅东,https://cd.ke.com/ershoufang/20031117710100189780.html,保利中心,https://cd.ke.com/xiaoqu/1611057984138/,130.0,单价20239.8元/平米,高楼层(共21层),2012年建,1室0厅,64.23平米,东,0,2天前发布
46,3.7.10地铁10年小区两梯四户朝南采光好对中庭,https://cd.ke.com/ershoufang/20031117710100183543.html,九峰国际,https://cd.ke.com/xiaoqu/1611041515644/,148.0,单价17680.1元/平米,高楼层(共18层),2010年建,2室2厅,83.71平米,东,0,2天前发布
47,兴元丽园A区2室2厅东南西北,https://cd.ke.com/ershoufang/20031117710100186271.html,兴元丽园A区,https://cd.ke.com/xiaoqu/3011053820750/,85.0,单价12959.3元/平米,中楼层(共11层),2005年建,2室2厅,65.59平米,东南西北,1,2天前发布
48,置信丽都花园A区1室0厅南,https://cd.ke.com/ershoufang/20031117710100180263.html,置信丽都花园A区,https://cd.ke.com/xiaoqu/1611043511786/,18.0,单价6398.9元/平米,地下室(共层)1室0厅,28.13平米,南,,,0,2天前发布
49,保利花园一期3室2厅西南,https://cd.ke.com/ershoufang/20031117710100176990.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,286.0,单价25731元/平米,高楼层(共15层),2011年建,3室2厅,111.15平米,西南,0,2天前发布
50,省农业厅过厅套三中间楼层对中庭安静不临街,https://cd.ke.com/ershoufang/20031117710100177760.html,武侯祠大街4号,https://cd.ke.com/xiaoqu/3011053912507/,91.0,单价13431.7元/平米,中楼层(共5层),1990年建,3室1厅,67.75平米,东南,0,2天前发布
51,电子商务大厦2室1厅南,https://cd.ke.com/ershoufang/20031117710100174962.html,电子商务大厦,https://cd.ke.com/xiaoqu/1620020444105367/,42.0,单价7500元/平米,高楼层(共18层)2室1厅,56平米,南,,,0,2天前发布
52,龙湖旁标准套一，出门就是公园，挨着天街,https://cd.ke.com/ershoufang/20031117710100169113.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,55.0,单价11293.6元/平米,低楼层(共7层),2000年建,1室1厅,48.7平米,东南,2,2天前发布
53,武侯祠大街28号2室1厅南,https://cd.ke.com/ershoufang/20031117710100169271.html,武侯祠大街28号,https://cd.ke.com/xiaoqu/3011053914133/,80.0,单价12632.2元/平米,中楼层(共7层),1993年建,2室1厅,63.33平米,南,1,2天前发布
54,锦里武侯祠标准套三一环内配套完善,https://cd.ke.com/ershoufang/20031117710100167538.html,建国巷1号,https://cd.ke.com/xiaoqu/3011053900387/,95.0,单价11606.6元/平米,高楼层(共7层),1994年建,3室1厅,81.85平米,东南,3,2天前发布
55,7栋负一楼车位，有7栋业主可以考虑,https://cd.ke.com/ershoufang/20031117710100167256.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18.0,单价4820.6元/平米,地下室(共层)1室0厅,37.34平米,东南,,,0,2天前发布
56,省农业厅套三双卫电梯入户中间楼层,https://cd.ke.com/ershoufang/20031117710100166815.html,武侯祠大街4号,https://cd.ke.com/xiaoqu/3011053912507/,186.0,单价15911元/平米,中楼层(共7层),1999年建,3室2厅,116.9平米,东,2,2天前发布
57,7栋负一楼车位，有7栋业主可以考虑,https://cd.ke.com/ershoufang/20031117710100165628.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18.0,单价4820.6元/平米,地下室(共层)1室0厅,37.34平米,南,,,0,2天前发布
58,"7栋8栋业主考虑的可以联系,随时可以看",https://cd.ke.com/ershoufang/20031117710100163697.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18.0,单价4249.3元/平米,地下室(共层),2011年建,1室0厅,42.36平米,东南,0,2天前发布
59,"7栋8栋业主考虑的可以联系,随时可以看",https://cd.ke.com/ershoufang/20031117710100163718.html,丽都花园丽府,https://cd.ke.com/xiaoqu/1611044722209/,18.0,单价4285.7元/平米,地下室(共层),2011年建,1室0厅,42平米,东南,0,2天前发布
60,浣花溪公园旁电梯装修套二保养好不临街,https://cd.ke.com/ershoufang/20031117710100161370.html,新空间花园,https://cd.ke.com/xiaoqu/1611041500070/,138.0,单价15481.3元/平米,中楼层(共12层),2002年建,2室1厅,89.14平米,东,1,2天前发布
61,世豪嘉柏3室2厅南,https://cd.ke.com/ershoufang/20031117710100155693.html,世豪嘉柏,https://cd.ke.com/xiaoqu/1611061265761/,160.0,单价17681.5元/平米,高楼层(共22层),2014年建,3室2厅,90.49平米,南,1,2天前发布
62,绿地圣路易名邸一期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100159339.html,绿地圣路易名邸一期,https://cd.ke.com/xiaoqu/3011056102188/,170.0,单价19124.8元/平米,低楼层(共12层),2012年建,2室1厅,88.89平米,东南,0,2天前发布
63,时代锦绣套三，户型方正，采光好。,https://cd.ke.com/ershoufang/20031117710100161713.html,时代锦绣,https://cd.ke.com/xiaoqu/1611064009997/,126.0,单价15000元/平米,高楼层(共14层),2017年建,3室2厅,84平米,东,1,2天前发布
64,合力达40年产权公寓有装修随时能看,https://cd.ke.com/ershoufang/20031117710100159688.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,单价8482.8元/平米,高楼层(共6层)1室1厅,35.13平米,东南,,,0,2天前发布
65,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154824.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,单价8482.8元/平米,高楼层(共6层)1室1厅,35.13平米,东南,,,0,2天前发布
66,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154655.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,单价8482.8元/平米,高楼层(共6层)1室1厅,35.13平米,东南,,,0,2天前发布
67,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154368.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,单价8482.8元/平米,高楼层(共6层)1室1厅,35.13平米,东南,,,0,2天前发布
68,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100154037.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.8,单价8482.8元/平米,高楼层(共6层)1室1厅,35.13平米,东南,,,0,2天前发布
69,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153856.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.4,单价8499.6元/平米,高楼层(共6层)1室1厅,34.59平米,东南,,,0,2天前发布
70,合力达40产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153443.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,29.4,单价8499.6元/平米,高楼层(共6层)1室1厅,34.59平米,东南,,,0,2天前发布
71,合力达40年产权公寓有装修随时看房,https://cd.ke.com/ershoufang/20031117710100153060.html,合力达新锐,https://cd.ke.com/xiaoqu/1620030047367224/,30.5,单价8481.6元/平米,高楼层(共6层)1室1厅,35.96平米,东南,,,0,2天前发布
72,优客联邦三期3室2厅西北,https://cd.ke.com/ershoufang/20031117710100152461.html,优客联邦三期,https://cd.ke.com/xiaoqu/1611044060273/,249.0,单价21635.2元/平米,高楼层(共18层),2012年建,3室2厅,115.09平米,西北,3,2天前发布
73,成科路5号3室2厅东南,https://cd.ke.com/ershoufang/20031117710100151813.html,成科路5号,https://cd.ke.com/xiaoqu/1620024631444089/,95.0,单价14431.1元/平米,高楼层(共7层)3室2厅,65.83平米,东南,,,0,2天前发布
74,和信派都标准套一在售朝南带阳台不临街,https://cd.ke.com/ershoufang/20031117710100142910.html,和信派都,https://cd.ke.com/xiaoqu/1611041491284/,110.0,单价19507元/平米,中楼层(共32层),2010年建,1室1厅,56.39平米,南,0,2天前发布
75,广福桥街14号2室1厅南,https://cd.ke.com/ershoufang/20031117710100142759.html,广福桥街14号,https://cd.ke.com/xiaoqu/1611042019922/,110.0,单价12500元/平米,中楼层(共7层),2000年建,2室1厅,88平米,南,0,2天前发布
76,紫檀清水套三双重精装入户大堂Artdeco经典建筑,https://cd.ke.com/ershoufang/20031117710100140653.html,紫檀,https://cd.ke.com/xiaoqu/1611041556800/,420.0,单价27025.3元/平米,中楼层(共27层),2017年建,3室2厅,155.41平米,东,2,2天前发布
77,保利花园一期3室2厅东北,https://cd.ke.com/ershoufang/20031117710100139276.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,260.0,单价23438.2元/平米,中楼层(共16层),2011年建,3室2厅,110.93平米,东北,0,2天前发布
78,优客联邦一期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100138510.html,优客联邦一期,https://cd.ke.com/xiaoqu/1611041554183/,158.0,单价19296.5元/平米,低楼层(共16层),2008年建,2室1厅,81.88平米,东南,1,2天前发布
79,采光充足，配套实施齐全，交通便利,https://cd.ke.com/ershoufang/20031117710100138478.html,首信汇,https://cd.ke.com/xiaoqu/3011056108443/,142.0,单价17102.3元/平米,中楼层(共14层),2014年建,3室2厅,83.03平米,东,1,2天前发布
80,置信丽都花园城B区3室2厅东北,https://cd.ke.com/ershoufang/20031117710100131696.html,置信丽都花园城B区,https://cd.ke.com/xiaoqu/1611057979869/,230.0,单价17025.7元/平米,中楼层(共13层),2006年建,3室2厅,135.09平米,东北,3,2天前发布
81,桐梓林地铁长寿苑套二出售户型方正,https://cd.ke.com/ershoufang/20031117710100130268.html,长寿苑,https://cd.ke.com/xiaoqu/1611041448646/,100.0,单价13618.4元/平米,高楼层(共6层)2室1厅,73.43平米,南,,,0,2天前发布
82,标准套二，中庭不临街，临河。,https://cd.ke.com/ershoufang/20031117710100129335.html,少陵横街34号,https://cd.ke.com/xiaoqu/1611041882821/,68.0,单价12932.7元/平米,中楼层(共7层),2001年建,2室1厅,52.58平米,南,2,2天前发布
83,绿地圣路易名邸一期2室1厅东,https://cd.ke.com/ershoufang/20031117710100123582.html,绿地圣路易名邸一期,https://cd.ke.com/xiaoqu/3011056102188/,170.0,单价19124.8元/平米,高楼层(共12层),2012年建,2室1厅,88.89平米,东,0,2天前发布
84,丽景华庭二期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100115299.html,丽景华庭二期,https://cd.ke.com/xiaoqu/1611041621243/,170.0,单价19101.1元/平米,高楼层(共16层),2006年建,2室1厅,89平米,东南,0,2天前发布
85,武海中华锦绣1室0厅东南,https://cd.ke.com/ershoufang/20031117710100114739.html,武海中华锦绣,https://cd.ke.com/xiaoqu/3011053806870/,16.0,单价5774.1元/平米,地下室(共层),2011年建,1室0厅,27.71平米,东南,0,2天前发布
86,武侯立交地铁三号线标准套二拎包入住,https://cd.ke.com/ershoufang/20031117710100114146.html,保利花园四期,https://cd.ke.com/xiaoqu/3011052246928/,164.0,单价21869.6元/平米,低楼层(共16层),2014年建,2室2厅,74.99平米,南,0,2天前发布
87,首航欣程优质标间,https://cd.ke.com/ershoufang/20031117710100111138.html,首航欣程,https://cd.ke.com/xiaoqu/1611048245025/,102.0,单价20996.3元/平米,高楼层(共29层),2014年建,1室0厅,48.58平米,南,3,2天前发布
88,地铁口中间楼层，金典错层套四，适合出租自住,https://cd.ke.com/ershoufang/20031117710100107428.html,红运花园佳苑,https://cd.ke.com/xiaoqu/1611058507205/,125.0,单价10053.1元/平米,中楼层(共7层),1999年建,4室2厅,124.34平米,南,0,2天前发布
89,罗浮世家二期3室2厅西南,https://cd.ke.com/ershoufang/20031117710100109867.html,罗浮世家二期,https://cd.ke.com/xiaoqu/1611041434437/,218.0,单价19899.6元/平米,高楼层(共17层),2004年建,3室2厅,109.55平米,西南,3,2天前发布
90,红牌楼北街19号2室2厅东南,https://cd.ke.com/ershoufang/20031117710100108888.html,红牌楼北街19号,https://cd.ke.com/xiaoqu/1611042674663/,112.0,单价14871.9元/平米,低楼层(共7层),2000年建,2室2厅,75.31平米,东南,0,2天前发布
91,三环边地铁口套二诚心出售满两年,https://cd.ke.com/ershoufang/20031117710100104766.html,杜鹃花园,https://cd.ke.com/xiaoqu/3011053701884/,115.0,单价14241.5元/平米,中楼层(共11层),2006年建,2室2厅,80.75平米,西南,1,2天前发布
92,保利花园套三双卫有装修拎包入住,https://cd.ke.com/ershoufang/20031117710100101647.html,保利花园一期,https://cd.ke.com/xiaoqu/3011056076924/,230.0,单价23355元/平米,中楼层(共16层),2011年建,3室1厅,98.48平米,东南,1,2天前发布
93,玲珑郡2室1厅东,https://cd.ke.com/ershoufang/20031017710100217260.html,玲珑郡,https://cd.ke.com/xiaoqu/3011056120282/,110.0,单价17383.1元/平米,中楼层(共11层),2012年建,2室1厅,63.28平米,东,0,3天前发布
94,长寿苑2室1厅南,https://cd.ke.com/ershoufang/20031017710100213557.html,长寿苑,https://cd.ke.com/xiaoqu/1611041448646/,108.0,单价14610.4元/平米,低楼层(共7层),2003年建,2室1厅,73.92平米,南,0,3天前发布
95,中间楼层+精装标准套二+不临街+采光充足,https://cd.ke.com/ershoufang/20031017710100208267.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,90.0,单价11538.5元/平米,中楼层(共7层),2000年建,2室1厅,78平米,东南南,1,3天前发布
96,花样年花好园标准套一户型方正采光好,https://cd.ke.com/ershoufang/20031017710100204094.html,花样年花好园,https://cd.ke.com/xiaoqu/1611041608619/,52.0,单价10077.5元/平米,低楼层(共20层),2007年建,1室1厅,51.6平米,东南,1,3天前发布
97,簇锦南街82号1室1厅南,https://cd.ke.com/ershoufang/20031017710100201989.html,簇锦南街82号,https://cd.ke.com/xiaoqu/3011056083961/,55.0,单价9719元/平米,高楼层(共6层)1室1厅,56.59平米,南,,,0,3天前发布
98,金辉枫尚1室0厅东,https://cd.ke.com/ershoufang/20031017710100199740.html,金辉枫尚,https://cd.ke.com/xiaoqu/3011053769898/,10.5,单价2989.7元/平米,地下室(共层),2012年建,1室0厅,35.12平米,东,0,3天前发布
99,华西武侯祠电梯小区户型方正带装修,https://cd.ke.com/ershoufang/20031017710100200657.html,一江城花,https://cd.ke.com/xiaoqu/1611061453614/,42.0,单价10266.4元/平米,低楼层(共7层)1室0厅,40.91平米,南,,,0,3天前发布
100,红城3室2厅西北,https://cd.ke.com/ershoufang/20031017710100193349.html,红城,https://cd.ke.com/xiaoqu/1611043133022/,160.0,单价20174元/平米,中楼层(共18层),2011年建,3室2厅,79.31平米,西北,0,3天前发布
101,金辉枫尚2室2厅东南,https://cd.ke.com/ershoufang/20031017710100184539.html,金辉枫尚,https://cd.ke.com/xiaoqu/3011053769898/,138.0,单价19158.7元/平米,低楼层(共17层),2011年建,2室2厅,72.03平米,东南,0,3天前发布
102,长城宜苑两居室带装修东南朝向,https://cd.ke.com/ershoufang/20031017710100184233.html,长城宜苑,https://cd.ke.com/xiaoqu/3011053654852/,119.0,单价15289.7元/平米,中楼层(共11层),2000年建,2室2厅,77.83平米,东南,0,3天前发布
103,西派城3室2厅南,https://cd.ke.com/ershoufang/20031017710100181858.html,西派城,https://cd.ke.com/xiaoqu/1613850559942542/,300.0,单价24939.7元/平米,高楼层(共7层)3室2厅,120.29平米,南,,,0,3天前发布
104,玉林低楼层套一朝南简单装修,https://cd.ke.com/ershoufang/20031017710100179469.html,玉林一巷16号,https://cd.ke.com/xiaoqu/1611043038569/,66.0,单价14515.1元/平米,低楼层(共5层)1室1厅,45.47平米,南北,,,1,3天前发布
105,正成金楠尚府1室0厅东南,https://cd.ke.com/ershoufang/20031017710100173239.html,正成金楠尚府,https://cd.ke.com/xiaoqu/1613622385586068/,9.5,单价3166.7元/平米,地下室(共层)1室0厅,30平米,东南,,,0,3天前发布
106,鹭岛国际四期2室1厅南,https://cd.ke.com/ershoufang/20031017710100175234.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,135.0,单价20368.1元/平米,高楼层(共18层),2012年建,2室1厅,66.28平米,南,3,3天前发布
107,紫藤花园3室2厅南,https://cd.ke.com/ershoufang/20031017710100172430.html,紫藤花园,https://cd.ke.com/xiaoqu/1611041517751/,193.0,单价14961.2元/平米,中楼层(共7层),2002年建,3室2厅,129平米,南,1,3天前发布
