,房屋名称,房屋链接,房屋位置,房屋位置链接,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间
22,华韵天府1室0厅东,https://cd.ke.com/ershoufang/20031117710100174449.html,华韵天府,https://cd.ke.com/xiaoqu/1611047922039/,地下室(共层)1室0厅,31.69平米,东,,,0,今天发布
23,鑫苑名家一期2室1厅东南,https://cd.ke.com/ershoufang/20031117710100162219.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,低楼层(共34层),2011年建,2室1厅,56.35平米,东南,0,今天发布
24,比华利国际城三期4室1厅西南,https://cd.ke.com/ershoufang/20031117710100161692.html,比华利国际城三期,https://cd.ke.com/xiaoqu/3011053478981/,高楼层(共25层),2014年建,4室1厅,105.19平米,西南,0,今天发布
25,沙河精装套三，对中庭，好房安心卖,https://cd.ke.com/ershoufang/20031117710100146571.html,沙河壹号二期,https://cd.ke.com/xiaoqu/3011053579030/,高楼层(共34层),2013年建,3室1厅,84.14平米,西北,12,今天发布
26,财富中心1室0厅东南,https://cd.ke.com/ershoufang/20031117710100143083.html,财富中心,https://cd.ke.com/xiaoqu/3011054635711/,低楼层(共30层),2005年建,1室0厅,31.92平米,东南,0,今天发布
27,比华利国际城二期2室1厅东东南,https://cd.ke.com/ershoufang/20031117710100141918.html,比华利国际城二期,https://cd.ke.com/xiaoqu/3011053557417/,中楼层(共26层),2011年建,2室1厅,77.84平米,东东南,0,今天发布
28,钢五区标准套二，户型方正，房间大,https://cd.ke.com/ershoufang/20031117710100140987.html,钢管厂五区,https://cd.ke.com/xiaoqu/1611041510821/,高楼层(共7层),2001年建,2室1厅,85.53平米,东南,0,今天发布
29,皇经楼新居二期A区1室1厅东南北,https://cd.ke.com/ershoufang/20031117710100140541.html,皇经楼新居二期A区,https://cd.ke.com/xiaoqu/1611061605765/,高楼层(共28层),2013年建,1室1厅,61.06平米,东南北,1,今天发布
30,鑫苑名家新青年，精装修，温馨套一标间,https://cd.ke.com/ershoufang/20031117710100137976.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,中楼层(共35层),2011年建,1室1厅,41平米,东南,0,今天发布
31,龙瑞苑1室1厅东,https://cd.ke.com/ershoufang/20031117710100132132.html,龙瑞苑,https://cd.ke.com/xiaoqu/1611043068493/,低楼层(共18层),2001年建,1室1厅,53.6平米,东,0,今天发布
32,沙河壹号一期精装套三卧室带阳台,https://cd.ke.com/ershoufang/20031117710100130385.html,沙河壹号一期,https://cd.ke.com/xiaoqu/3011053573846/,中楼层(共34层),2011年建,3室1厅,81.51平米,北,6,今天发布
33,忠烈祠东街50号3室2厅东南,https://cd.ke.com/ershoufang/20031117710100124253.html,忠烈祠东街50号,https://cd.ke.com/xiaoqu/1611062517937/,高楼层(共7层)3室2厅,108.67平米,东南,,,0,今天发布
34,国嘉新视界1室1厅东北,https://cd.ke.com/ershoufang/20031117710100121972.html,国嘉新视界,https://cd.ke.com/xiaoqu/1611043132293/,低楼层(共32层),2009年建,1室1厅,54.36平米,东北,1,今天发布
35,翡翠城四期车位诚心出售。。。。。。,https://cd.ke.com/ershoufang/20031117710100108480.html,翡翠城四期,https://cd.ke.com/xiaoqu/1611043130056/,地下室(共层),2009年建,1室0厅,31.45平米,东南,0,今天发布
36,绿野天城少有户型，标准套四，有屋顶花园，诚心卖,https://cd.ke.com/ershoufang/20031017710100216615.html,绿野天城,https://cd.ke.com/xiaoqu/1611062265394/,高楼层(共18层),2007年建,4室2厅,128平米,东南,2,2天前发布
37,卓锦城六期东南朝向装修套二出售,https://cd.ke.com/ershoufang/20031017710100215036.html,卓锦城六期,https://cd.ke.com/xiaoqu/1611047075553/,高楼层(共30层),2014年建,2室1厅,76.1平米,东南,0,2天前发布
38,：：万科精装修保养好，套二户型。深色装修户型。,https://cd.ke.com/ershoufang/20031017710100214886.html,万科金润华府,https://cd.ke.com/xiaoqu/1611057882526/,中楼层(共35层),2012年建,2室1厅,64.87平米,东西,0,2天前发布
39,交通便利，配套成熟，生活方便。,https://cd.ke.com/ershoufang/20031017710100214611.html,尖东旺座二期,https://cd.ke.com/xiaoqu/1611041550511/,低楼层(共15层),2004年建,1室0厅,41.91平米,东南,0,2天前发布
40,二环内锦华万达旁！标准套三！中楼层！老少皆宜！,https://cd.ke.com/ershoufang/20031017710100211716.html,河滨怡苑,https://cd.ke.com/xiaoqu/3011055028178/,中楼层(共6层),1996年建,3室2厅,145.62平米,东南,0,2天前发布
41,星雅俊园精装修小套二，带家具家电，诚心出售,https://cd.ke.com/ershoufang/20031017710100209642.html,俊发星雅俊园,https://cd.ke.com/xiaoqu/1611060973372/,低楼层(共37层),2015年建,2室1厅,57.11平米,东南,0,2天前发布
42,美丽合江3室1厅西,https://cd.ke.com/ershoufang/20031017710100206110.html,美丽合江,https://cd.ke.com/xiaoqu/1611061108895/,高楼层(共13层)3室1厅,92.65平米,西,,,0,2天前发布
43,首创娇子1号3室1厅西南,https://cd.ke.com/ershoufang/20031017710100197833.html,首创娇子1号,https://cd.ke.com/xiaoqu/166872826916790/,低楼层(共34层),2018年建,3室1厅,75.78平米,西南,0,2天前发布
44,惊现，金润华府新上套四通透户型。,https://cd.ke.com/ershoufang/20031017710100197530.html,万科金润华府,https://cd.ke.com/xiaoqu/1611057882526/,中楼层(共35层),2012年建,4室1厅,83.1平米,东北,13,2天前发布
45,此房新装修套四双卫，户型方正格局紧凑规整,https://cd.ke.com/ershoufang/20031017710100200581.html,锦蓉佳苑,https://cd.ke.com/xiaoqu/1611047607016/,中楼层(共30层),2014年建,4室2厅,135.29平米,东南,0,2天前发布
46,卓锦城六期3室1厅南,https://cd.ke.com/ershoufang/20031017710100195833.html,卓锦城六期,https://cd.ke.com/xiaoqu/1611047075553/,中楼层(共24层),2014年建,3室1厅,89.49平米,南,0,2天前发布
47,锦江边凯丽香江套三双卫客厅带阳台视野好位置好,https://cd.ke.com/ershoufang/20031017710100184666.html,蓝光凯丽香江,https://cd.ke.com/xiaoqu/1611041618870/,中楼层(共42层),2009年建,3室2厅,87平米,东南,0,2天前发布
48,鑫苑名家一期2室1厅南,https://cd.ke.com/ershoufang/20031017710100186683.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,低楼层(共34层),2011年建,2室1厅,58平米,南,0,2天前发布
49,户型好，跃层，利用空间大位置优越,https://cd.ke.com/ershoufang/20031017710100188159.html,蓉上坊一期,https://cd.ke.com/xiaoqu/1611041538363/,高楼层(共31层),2009年建,4室2厅,89.68平米,南,2,2天前发布
50,房屋优质中间楼层价格值得力推采光好,https://cd.ke.com/ershoufang/20031017710100181151.html,莲花新区北一巷3号,https://cd.ke.com/xiaoqu/1611041928737/,中楼层(共7层),2002年建,2室1厅,64.95平米,东,0,2天前发布
51,鑫苑名家一期2室1厅南,https://cd.ke.com/ershoufang/20031017710100179714.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,低楼层(共34层),2011年建,2室1厅,56平米,南,0,2天前发布
52,锦江城市花园一期2室2厅东南,https://cd.ke.com/ershoufang/20031017710100175585.html,锦江城市花园一期,https://cd.ke.com/xiaoqu/1611041539854/,高楼层(共34层),2009年建,2室2厅,84平米,东南,0,2天前发布
53,鑫苑名家一期1室0厅东,https://cd.ke.com/ershoufang/20031017710100171322.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,高楼层(共35层),2011年建,1室0厅,40.65平米,东,0,2天前发布
54,锦江华庭车位出售，看车位提前约,https://cd.ke.com/ershoufang/20031017710100174648.html,锦江华庭,https://cd.ke.com/xiaoqu/1611059189106/,地下室(共层),2007年建,1室0厅,45.13平米,东,0,2天前发布
55,精装两居室，户型方正，主卧带阳台看河，采光好,https://cd.ke.com/ershoufang/20031017710100175097.html,锦江华庭,https://cd.ke.com/xiaoqu/1611059189106/,中楼层(共21层),2007年建,2室1厅,100.48平米,西南,2,2天前发布
56,太升南路173号3室1厅南,https://cd.ke.com/ershoufang/20031017710100159643.html,太升南路173号,https://cd.ke.com/xiaoqu/1611063679385/,低楼层(共7层),1992年建,3室1厅,84.65平米,南,2,2天前发布
57,锦江城市花园二期2室1厅东南,https://cd.ke.com/ershoufang/20031017710100155624.html,锦江城市花园二期,https://cd.ke.com/xiaoqu/1611041538906/,高楼层(共34层),2010年建,2室1厅,47.37平米,东南,0,2天前发布
58,东湖国际带装修的套二，房东急售,https://cd.ke.com/ershoufang/20031017710100154763.html,东湖国际,https://cd.ke.com/xiaoqu/1611043090288/,高楼层(共33层),2012年建,2室1厅,74.05平米,西北,1,2天前发布
59,鑫苑名家一期2室1厅南,https://cd.ke.com/ershoufang/20031017710100153729.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,中楼层(共34层),2011年建,2室1厅,55.67平米,南,2,2天前发布
60,天悦龙庭标准车位负一楼有不动产发票,https://cd.ke.com/ershoufang/20031017710100147565.html,天悦龙庭,https://cd.ke.com/xiaoqu/3011052708655/,地下室(共层)1室0厅,36.79平米,南,,,0,2天前发布
61,一梯两户小高层，锦江三环内大套三，户型通透采光好,https://cd.ke.com/ershoufang/20031017710100142733.html,蓝谷地一二期,https://cd.ke.com/xiaoqu/1611057996834/,中楼层(共11层),2006年建,3室2厅,125平米,东南,0,2天前发布
62,钢管厂五区套二出售户型方正不临街适合居家,https://cd.ke.com/ershoufang/20031017710100141260.html,钢管厂五区,https://cd.ke.com/xiaoqu/1611041510821/,中楼层(共7层),2001年建,2室1厅,70.1平米,东南,2,2天前发布
63,攀成钢优质套二双阳台西南朝向采光充足视野开阔,https://cd.ke.com/ershoufang/20031017710100133622.html,澳龙名城,https://cd.ke.com/xiaoqu/1611041481744/,中楼层(共16层),2009年建,2室2厅,81.67平米,西南,1,2天前发布
64,华润东原时光绘1室0厅南,https://cd.ke.com/ershoufang/20031017710100133113.html,华润东原时光绘,https://cd.ke.com/xiaoqu/1620033874424444/,中楼层(共17层)1室0厅,37.6平米,南,,,0,2天前发布
65,绿地468公馆一期3室1厅东北,https://cd.ke.com/ershoufang/20031017710100130695.html,绿地468公馆一期,https://cd.ke.com/xiaoqu/1611061071609/,高楼层(共25层),2015年建,3室1厅,88.39平米,东北,0,2天前发布
66,万科城市花园2室1厅西,https://cd.ke.com/ershoufang/20031017710100128032.html,万科城市花园,https://cd.ke.com/xiaoqu/1611057879617/,中楼层(共6层),2007年建,2室1厅,84.36平米,西,2,2天前发布
67,橡树林一期精装套三，对小区中庭，安静不临街,https://cd.ke.com/ershoufang/20031017710100127032.html,望江橡树林一期,https://cd.ke.com/xiaoqu/1611041736706/,中楼层(共34层),2009年建,3室1厅,103.01平米,北,2,2天前发布
68,城市理想1室0厅南,https://cd.ke.com/ershoufang/20031017710100123619.html,城市理想,https://cd.ke.com/xiaoqu/1611059198261/,中楼层(共37层),2010年建,1室0厅,39.67平米,南,0,2天前发布
69,1.5环牛市口地铁精装套二，领包入住,https://cd.ke.com/ershoufang/20031017710100123257.html,水碾河路6号,https://cd.ke.com/xiaoqu/1611043142374/,低楼层(共7层),1995年建,2室1厅,59.18平米,南,0,2天前发布
70,东2.5环居家装修套三，中间楼层采光好，无视野遮挡。,https://cd.ke.com/ershoufang/20031017710100123557.html,锦江国际花园,https://cd.ke.com/xiaoqu/1611062710807/,中楼层(共34层),2016年建,3室1厅,84.16平米,东南,1,2天前发布
71,澳龙名城3室2厅南,https://cd.ke.com/ershoufang/20031017710100116966.html,澳龙名城,https://cd.ke.com/xiaoqu/1611041481744/,中楼层(共33层),2009年建,3室2厅,86.25平米,南,0,2天前发布
72,蓝谷地领域标准套三带双卫，可直接拎包入住，手慢无,https://cd.ke.com/ershoufang/20031017710100112419.html,领域,https://cd.ke.com/xiaoqu/1611061091843/,中楼层(共6层),2005年建,3室2厅,121.2平米,南,0,2天前发布
73,惊现！！清水套四带车位诚心出售中,https://cd.ke.com/ershoufang/20031017710100112120.html,中房优山PLUS,https://cd.ke.com/xiaoqu/1611706020408995/,中楼层(共32层)4室2厅,120平米,东北,,,2,2天前发布
74,督院府邸3室2厅南,https://cd.ke.com/ershoufang/20031017710100113058.html,督院府邸,https://cd.ke.com/xiaoqu/1611060805130/,中楼层(共9层),2000年建,3室2厅,156.82平米,南,2,2天前发布
75,万达锦华城2室1厅东,https://cd.ke.com/ershoufang/20031017710100107055.html,万达锦华城,https://cd.ke.com/xiaoqu/1611041535054/,高楼层(共30层),2008年建,2室1厅,75.37平米,东,0,2天前发布
76,东风路15号2室1厅南,https://cd.ke.com/ershoufang/20031017710100108041.html,东风路15号,https://cd.ke.com/xiaoqu/1611061197637/,高楼层(共7层),1998年建,2室1厅,53.09平米,南,0,2天前发布
77,上东锦城A区2室1厅西南,https://cd.ke.com/ershoufang/20031017710100103447.html,上东锦城A区,https://cd.ke.com/xiaoqu/3011053447549/,高楼层(共34层),2008年建,2室1厅,82.31平米,西南,3,2天前发布
78,皇经嘉苑套二有装修，有家具家电、有阳台，采光较好,https://cd.ke.com/ershoufang/20031017710100101216.html,皇经嘉苑,https://cd.ke.com/xiaoqu/3011052687630/,低楼层(共15层),2010年建,2室1厅,70.83平米,南,2,2天前发布
79,银杏森林4室2厅南,https://cd.ke.com/ershoufang/20031017710100100467.html,银杏森林,https://cd.ke.com/xiaoqu/3011053119964/,高楼层(共6层),2006年建,4室2厅,157.43平米,南,0,2天前发布
80,三环内，锦江区，近地铁，电梯套二，总价低.,https://cd.ke.com/ershoufang/20030917710100183740.html,上东锦城A区,https://cd.ke.com/xiaoqu/3011053447549/,高楼层(共34层),2008年建,2室1厅,82.13平米,西南,2,3天前发布
81,ICC凯旋门2室1厅南,https://cd.ke.com/ershoufang/20030917710100183322.html,ICC凯旋门,https://cd.ke.com/xiaoqu/1611877458128788/,低楼层(共43层),2018年建,2室1厅,95平米,南,0,3天前发布
82,春熙路蓝光时代华章配套设施齐全交通便利租金稳定,https://cd.ke.com/ershoufang/20030917710100179281.html,蓝光时代华章,https://cd.ke.com/xiaoqu/1611058922197/,高楼层(共15层),2003年建,1室0厅,37.48平米,东,1,3天前发布
83,蓝润V客东都一期，套三居家房屋,https://cd.ke.com/ershoufang/20030917710100171683.html,蓝润V客东都一期,https://cd.ke.com/xiaoqu/1611064000576/,中楼层(共40层),2017年建,3室1厅,72.26平米,东南,1,3天前发布
84,爱丁郡院3室1厅西,https://cd.ke.com/ershoufang/20030917710100169943.html,爱丁郡院,https://cd.ke.com/xiaoqu/3011053555256/,高楼层(共18层),2009年建,3室1厅,94.39平米,西,0,3天前发布
85,蓝光郁金香花园广场1室0厅东南,https://cd.ke.com/ershoufang/20030917710100166814.html,蓝光郁金香花园广场,https://cd.ke.com/xiaoqu/1611058922733/,高楼层(共12层),2006年建,1室0厅,41.41平米,东南,1,3天前发布
86,新上卓锦城五期套三带阳台朝南对中庭,https://cd.ke.com/ershoufang/20030917710100166945.html,卓锦城五期,https://cd.ke.com/xiaoqu/1611047075758/,低楼层(共33层),2012年建,3室2厅,86.45平米,东南,1,3天前发布
87,春熙路舒适标间，交通便利，生活方便,https://cd.ke.com/ershoufang/20030917710100167272.html,蓝光时代华章,https://cd.ke.com/xiaoqu/1611058922197/,中楼层(共15层),2003年建,1室0厅,37.44平米,东,0,3天前发布
88,房子是07年开始建的，09年下的产权，客厅带阳台。,https://cd.ke.com/ershoufang/20030917710100163750.html,雕墅,https://cd.ke.com/xiaoqu/3011054640201/,高楼层(共33层),2007年建,2室1厅,69.81平米,西南,1,3天前发布
89,华都美林湾，套三双卫户型通透。,https://cd.ke.com/ershoufang/20030917710100163094.html,华都美林湾,https://cd.ke.com/xiaoqu/1611043094092/,中楼层(共32层),2012年建,3室1厅,125.06平米,西南,4,3天前发布
90,绿地468云玺五期3室2厅西南,https://cd.ke.com/ershoufang/20030917710100157528.html,绿地468云玺五期,https://cd.ke.com/xiaoqu/1620026673981109/,高楼层(共39层)3室2厅,89平米,西南,,,0,3天前发布
91,城东雅郡新出套三双卫，精装入户带花园，客厅带阳台。,https://cd.ke.com/ershoufang/20030917710100155179.html,城东雅郡,https://cd.ke.com/xiaoqu/1611057880741/,高楼层(共6层),2005年建,3室2厅,121.36平米,西东,0,3天前发布
92,三圣乡居家自住套二看公园的房子,https://cd.ke.com/ershoufang/20030917710100152894.html,合能锦城,https://cd.ke.com/xiaoqu/1611063766797/,高楼层(共28层),2015年建,2室2厅,64.24平米,东北,0,3天前发布
93,天涯石电梯小户型红星国际，精装修，带生活阳台,https://cd.ke.com/ershoufang/20030917710100147251.html,红星国际,https://cd.ke.com/xiaoqu/1611059130055/,中楼层(共31层),2012年建,1室0厅,40.32平米,东,0,3天前发布
94,华都美林湾，看湖套二单卫，视野好,https://cd.ke.com/ershoufang/20030917710100149123.html,华都美林湾,https://cd.ke.com/xiaoqu/1611043094092/,高楼层(共32层),2012年建,2室2厅,91.05平米,东南,2,3天前发布
95,东洪广厦2室1厅东南,https://cd.ke.com/ershoufang/20030917710100145432.html,东洪广厦,https://cd.ke.com/xiaoqu/1611047641103/,高楼层(共32层),2013年建,2室1厅,78.65平米,东南,0,3天前发布
96,秀水园新上套二，临塔子山公园单价低，地铁上,https://cd.ke.com/ershoufang/20030917710100145184.html,秀水园,https://cd.ke.com/xiaoqu/1611061046349/,高楼层(共7层),2005年建,2室1厅,68.07平米,东南,19,3天前发布
97,阳光3651室0厅东,https://cd.ke.com/ershoufang/20030917710100135472.html,阳光365,https://cd.ke.com/xiaoqu/1611041504152/,地下室(共层),2005年建,1室0厅,30.63平米,东,0,3天前发布
98,横丁字街27号2室1厅东,https://cd.ke.com/ershoufang/20030917710100133484.html,横丁字街27号,https://cd.ke.com/xiaoqu/3011055164438/,低楼层(共7层),1997年建,2室1厅,71.3平米,东,4,3天前发布
99,精装修带花园，通透套三带大阳台，前后对中庭可看房,https://cd.ke.com/ershoufang/20030917710100132148.html,卓锦城一期,https://cd.ke.com/xiaoqu/1611041742145/,低楼层(共6层),2006年建,3室2厅,122.35平米,南,2,3天前发布
100,锦江城市花园三期2室1厅东南,https://cd.ke.com/ershoufang/20030917710100129420.html,锦江城市花园三期,https://cd.ke.com/xiaoqu/1611047140791/,低楼层(共34层),2011年建,2室1厅,57.13平米,东南,2,3天前发布
101,财富中心1室1厅西北,https://cd.ke.com/ershoufang/20030917710100125459.html,财富中心,https://cd.ke.com/xiaoqu/3011054635711/,中楼层(共30层),2005年建,1室1厅,29.14平米,西北,0,3天前发布
102,沙河上二期3室2厅南,https://cd.ke.com/ershoufang/20030917710100124058.html,沙河上二期,https://cd.ke.com/xiaoqu/1611060729057/,中楼层(共6层),2013年建,3室2厅,106平米,南,1,3天前发布
103,鑫苑名家二期1室1厅西北,https://cd.ke.com/ershoufang/20030917710100122585.html,鑫苑名家二期,https://cd.ke.com/xiaoqu/1611047301096/,高楼层(共34层),2012年建,1室1厅,48.84平米,西北,0,3天前发布
104,鑫苑名家一期0室0厅东南,https://cd.ke.com/ershoufang/20030917710100117418.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,地下室(共层)厅室未知,22.06平米,东南,,,0,3天前发布
105,城市理想1室1厅东南,https://cd.ke.com/ershoufang/20030917710100114670.html,城市理想,https://cd.ke.com/xiaoqu/1611059198261/,中楼层(共37层),2010年建,1室1厅,37.27平米,东南,0,3天前发布
106,美丽合江居家小套二，交通便利，配套齐全,https://cd.ke.com/ershoufang/20030917710100110454.html,美丽合江,https://cd.ke.com/xiaoqu/1611061108895/,低楼层(共13层),2007年建,2室1厅,67.29平米,西北,1,3天前发布
107,德馨苑4室1厅南,https://cd.ke.com/ershoufang/20030917710100111517.html,德馨苑,https://cd.ke.com/xiaoqu/1611057877191/,中楼层(共32层),2011年建,4室1厅,152.64平米,南,1,3天前发布
108,鑫苑名家二期，全新清水套二，使用率高，通风好,https://cd.ke.com/ershoufang/20030917710100109685.html,鑫苑名家二期,https://cd.ke.com/xiaoqu/1611047301096/,低楼层(共34层),2012年建,2室1厅,64.41平米,南,0,3天前发布
109,莲花新区南一巷2号院2室1厅东南,https://cd.ke.com/ershoufang/20030917710100111760.html,莲花新区南一巷2号院,https://cd.ke.com/xiaoqu/1611043067573/,低楼层(共7层)2室1厅,66.59平米,东南,,,0,3天前发布
110,客厅朝南里面有飘窗，动静分区，明厨明卫，采光好,https://cd.ke.com/ershoufang/20030917710100106248.html,卓锦城六期,https://cd.ke.com/xiaoqu/1611047075553/,低楼层(共28层),2014年建,2室1厅,68.58平米,西南,2,3天前发布
111,凌云峰阁套四跃层精装空房没有住过人,https://cd.ke.com/ershoufang/20030917710100103658.html,吉宝凌云峰阁,https://cd.ke.com/xiaoqu/1611062923844/,高楼层(共31层),2015年建,4室2厅,238.16平米,东,44,3天前发布
112,蜀都花园1室0厅北,https://cd.ke.com/ershoufang/20030917710100100874.html,蜀都花园,https://cd.ke.com/xiaoqu/1611041540545/,中楼层(共18层),2003年建,1室0厅,34.3平米,北,1,3天前发布
113,沙河壹号温馨居家三居室，朝南，卧室带大阳台,https://cd.ke.com/ershoufang/20030917710100100448.html,沙河壹号一期,https://cd.ke.com/xiaoqu/3011053573846/,低楼层(共34层),2011年建,3室2厅,88.93平米,南,1,3天前发布
114,精装套三，拎包入住，位置安静，满两年,https://cd.ke.com/ershoufang/20030917710100100140.html,锦江城市花园三期,https://cd.ke.com/xiaoqu/1611047140791/,低楼层(共34层),2011年建,3室1厅,73.63平米,西南,28,3天前发布
115,锦蓉佳苑2室1厅西北,https://cd.ke.com/ershoufang/20030817710100215455.html,锦蓉佳苑,https://cd.ke.com/xiaoqu/1611047607016/,高楼层(共31层),2014年建,2室1厅,83.56平米,西北,0,4天前发布
116,东方桂苑，精装套二，客厅对中庭安静不临街。,https://cd.ke.com/ershoufang/20030817710100212527.html,东方桂苑,https://cd.ke.com/xiaoqu/1611041478345/,低楼层(共11层),2006年建,2室1厅,84.35平米,东南,2,4天前发布
117,卓锦城六期套三单卫客厅带阳台,https://cd.ke.com/ershoufang/20030817710100210475.html,卓锦城六期,https://cd.ke.com/xiaoqu/1611047075553/,高楼层(共30层),2014年建,3室2厅,89.54平米,西北,0,4天前发布
118,上东锦城A区3室2厅东南,https://cd.ke.com/ershoufang/20030817710100207841.html,上东锦城A区,https://cd.ke.com/xiaoqu/3011053447549/,中楼层(共34层),2008年建,3室2厅,89.19平米,东南,11,4天前发布
119,蓝谷地天域3室2厅南,https://cd.ke.com/ershoufang/20030817710100301747.html,蓝谷地天域,https://cd.ke.com/xiaoqu/3011053261179/,中楼层(共31层),2012年建,3室2厅,90.35平米,南,2,4天前发布
